codigo_sku,nome_peca,fabricante,quantidade_estoque,localizacao_corredor,preco_venda
SCR-59494-X,Disco de Freio NGK - Civic,NGK,47,COR-9-A,448.87
SCR-23824-X,Pastilha de Freio Monroe - Palio,Monroe,81,COR-7-C,609.29
SCR-22270-X,Vela de Ignição Fram - Hilux,Fram,146,COR-1-B,898.32
SCR-22517-X,Vela de Ignição NGK - Hilux,NGK,50,COR-11-A,58.3
SCR-10748-A,Filtro de Óleo Fram - Gol G5,Fram,65,COR-9-C,1108.72
SCR-63442-A,Bateria 60Ah Moura - Compass,Moura,48,COR-7-A,696.66
SCR-56971-B,Pastilha de Freio Bosch - Onix,Bosch,36,COR-1-C,177.08
SCR-93692-B,Lâmpada H4 Moura - Compass,Moura,1,COR-18-B,599.21
SCR-45197-A,Bomba d'Água Moura - Corolla,Moura,30,COR-3-B,322.09
SCR-33776-X,Amortecedor Monroe - Civic,Monroe,44,COR-18-B,169.03
SCR-40953-B,Correia Dentada NGK - Onix,NGK,109,COR-20-C,444.81
SCR-26557-X,Pastilha de Freio Bosch - Corolla,Bosch,33,COR-11-C,1102.02
SCR-79150-A,Radiador Nakata - Fiat Uno,Nakata,117,COR-19-C,1179.06
SCR-61071-B,Pivô de Suspensão Monroe - Fiat Uno,Monroe,139,COR-19-B,817.62
SCR-24864-A,Palheta Cofap - Corolla,Cofap,134,COR-14-A,365.99
SCR-39026-X,Correia Dentada Monroe - Onix,Monroe,66,COR-18-C,344.17
SCR-78968-X,Radiador Magneti Marelli - Corolla,Magneti Marelli,79,COR-8-C,719.32
SCR-54151-A,Bomba d'Água Fram - Compass,Fram,57,COR-10-B,1149.98
SCR-25779-X,Bateria 60Ah Monroe - Civic,Monroe,107,COR-16-A,472.41
SCR-32092-X,Lâmpada H4 NGK - Onix,NGK,113,COR-17-B,793.86
SCR-27800-X,Correia Dentada Cofap - Fiat Uno,Cofap,78,COR-5-B,414.64
SCR-25453-A,Radiador Monroe - Civic,Monroe,28,COR-19-A,1179.32
SCR-13246-X,Correia Dentada Magneti Marelli - Civic,Magneti Marelli,149,COR-8-C,919.32
SCR-18706-A,Amortecedor Monroe - Hilux,Monroe,106,COR-6-B,658.73
SCR-82404-X,Disco de Freio Bosch - Corolla,Bosch,107,COR-8-A,810.41
SCR-49118-X,Filtro de Óleo Magneti Marelli - Onix,Magneti Marelli,61,COR-12-B,352.29
SCR-87641-B,Bomba d'Água Cofap - Fiat Uno,Cofap,15,COR-16-B,1121.61
SCR-60048-B,Vela de Ignição Magneti Marelli - Fiat Uno,Magneti Marelli,115,COR-2-B,931.44
SCR-71932-A,Vela de Ignição Bosch - Fiat Uno,Bosch,40,COR-13-A,440.91
SCR-39283-B,Pastilha de Freio Fram - Palio,Fram,109,COR-17-A,1075.69
SCR-67190-X,Palheta Magneti Marelli - Compass,Magneti Marelli,79,COR-16-B,805.72
SCR-28653-A,Cabo de Vela Nakata - Onix,Nakata,68,COR-6-A,853.55
SCR-88864-A,Bateria 60Ah NGK - Corolla,NGK,83,COR-11-B,105.81
SCR-13058-B,Cabo de Vela Magneti Marelli - Onix,Magneti Marelli,51,COR-20-C,102.84
SCR-13787-X,Radiador NGK - HB20,NGK,113,COR-9-A,412.76
SCR-78793-B,Lâmpada H4 Fram - Onix,Fram,93,COR-17-A,453.13
SCR-58703-B,Bateria 60Ah Fram - Palio,Fram,145,COR-14-C,326.09
SCR-67748-X,Bateria 60Ah Fram - HB20,Fram,51,COR-16-A,608.94
SCR-85847-X,Radiador Cofap - Gol G5,Cofap,58,COR-8-A,862.69
SCR-98739-B,Pivô de Suspensão Cofap - Hilux,Cofap,28,COR-5-A,141.27
SCR-82041-B,Disco de Freio Fram - Hilux,Fram,149,COR-3-A,204.29
SCR-95601-B,Bomba d'Água Cofap - Palio,Cofap,70,COR-8-B,373.0
SCR-78510-X,Filtro de Óleo Nakata - Civic,Nakata,126,COR-13-B,28.61
SCR-41026-X,Bateria 60Ah Monroe - Fiat Uno,Monroe,100,COR-19-A,97.95
SCR-99373-B,Correia Dentada Magneti Marelli - Compass,Magneti Marelli,63,COR-6-B,52.73
SCR-10374-A,Junta Homocinética Monroe - Fiat Uno,Monroe,2,COR-11-A,714.49
SCR-82903-B,Disco de Freio Nakata - Palio,Nakata,73,COR-14-B,115.69
SCR-54735-B,Cabo de Vela Moura - Onix,Moura,58,COR-7-A,208.75
SCR-48213-A,Palheta Nakata - Civic,Nakata,110,COR-12-A,183.7
SCR-69980-B,Radiador Cofap - Gol G5,Cofap,45,COR-3-C,921.89
SCR-44925-A,Sensor de Oxigênio Fram - Gol G5,Fram,0,COR-18-A,1041.23
SCR-32371-X,Bateria 60Ah NGK - Hilux,NGK,126,COR-17-A,35.26
SCR-29804-B,Amortecedor NGK - Compass,NGK,2,COR-14-B,571.63
SCR-21026-A,Filtro de Óleo Monroe - Compass,Monroe,86,COR-16-B,1093.82
SCR-65861-A,Pastilha de Freio Bosch - Civic,Bosch,26,COR-16-C,1033.31
SCR-15738-X,Correia Dentada Magneti Marelli - Hilux,Magneti Marelli,13,COR-13-A,754.27
SCR-70602-A,Sensor de Oxigênio Fram - HB20,Fram,115,COR-9-A,369.16
SCR-31276-A,Palheta Cofap - HB20,Cofap,2,COR-5-A,1099.69
SCR-18268-X,Junta Homocinética Moura - Onix,Moura,62,COR-4-B,688.62
SCR-85291-X,Pastilha de Freio Nakata - HB20,Nakata,43,COR-4-C,120.07
SCR-77110-B,Pastilha de Freio NGK - Palio,NGK,96,COR-11-C,1112.65
SCR-99212-B,Palheta Magneti Marelli - Compass,Magneti Marelli,139,COR-6-A,489.86
SCR-50001-B,Lâmpada H4 Cofap - Fiat Uno,Cofap,108,COR-16-B,896.97
SCR-87755-X,Sensor de Oxigênio Monroe - Fiat Uno,Monroe,76,COR-7-A,62.11
SCR-16569-A,Radiador Cofap - Compass,Cofap,2,COR-13-C,504.61
SCR-94083-B,Pastilha de Freio Bosch - Gol G5,Bosch,92,COR-16-B,866.87
SCR-93866-X,Lâmpada H4 Moura - Onix,Moura,124,COR-18-C,1089.11
SCR-31331-A,Pastilha de Freio Nakata - Onix,Nakata,1,COR-8-C,467.43
SCR-36466-X,Bomba d'Água Fram - Palio,Fram,145,COR-14-A,669.42
SCR-88044-A,Pivô de Suspensão Bosch - Compass,Bosch,143,COR-19-B,1019.71
SCR-74989-B,Filtro de Óleo Nakata - Gol G5,Nakata,111,COR-10-C,880.01
SCR-59195-X,Pivô de Suspensão Nakata - Palio,Nakata,89,COR-16-C,79.85
SCR-15400-A,Amortecedor Nakata - HB20,Nakata,4,COR-2-A,936.42
SCR-89384-A,Bateria 60Ah Nakata - Corolla,Nakata,139,COR-8-B,84.83
SCR-40545-A,Cabo de Vela Fram - Onix,Fram,102,COR-20-A,744.46
SCR-73294-A,Radiador Cofap - Hilux,Cofap,26,COR-6-A,770.37
SCR-81162-A,Disco de Freio Moura - HB20,Moura,88,COR-7-B,72.97
SCR-12232-B,Radiador Monroe - Corolla,Monroe,107,COR-7-C,901.6
SCR-26786-X,Disco de Freio Cofap - Palio,Cofap,29,COR-6-B,527.97
SCR-96045-B,Palheta Nakata - Hilux,Nakata,35,COR-7-C,346.1
SCR-94440-A,Lâmpada H4 Nakata - Gol G5,Nakata,42,COR-19-C,510.74
SCR-31757-X,Bateria 60Ah NGK - Palio,NGK,135,COR-17-A,101.13
SCR-60042-X,Junta Homocinética NGK - Hilux,NGK,131,COR-15-A,815.96
SCR-15537-B,Pivô de Suspensão Monroe - Hilux,Monroe,42,COR-4-C,243.41
SCR-61208-A,Radiador Cofap - Onix,Cofap,105,COR-1-A,763.95
SCR-52740-A,Palheta NGK - HB20,NGK,58,COR-9-B,49.1
SCR-92577-X,Bateria 60Ah Moura - Fiat Uno,Moura,57,COR-7-A,342.85
SCR-69444-X,Sensor de Oxigênio Bosch - Civic,Bosch,47,COR-19-B,172.91
SCR-10496-B,Filtro de Óleo NGK - Gol G5,NGK,49,COR-7-A,533.51
SCR-93458-A,Cabo de Vela Fram - Palio,Fram,1,COR-19-B,781.83
SCR-53566-X,Pivô de Suspensão Nakata - Palio,Nakata,117,COR-10-C,95.08
SCR-49726-X,Bateria 60Ah Monroe - Compass,Monroe,25,COR-2-C,129.83
SCR-55621-A,Palheta Moura - HB20,Moura,108,COR-15-B,181.45
SCR-74575-A,Radiador Fram - Hilux,Fram,19,COR-7-A,868.25
SCR-52711-B,Pastilha de Freio Moura - Corolla,Moura,108,COR-19-B,985.52
SCR-83087-A,Disco de Freio Cofap - Hilux,Cofap,118,COR-10-B,680.37
SCR-76723-B,Filtro de Óleo Fram - Hilux,Fram,85,COR-8-C,534.94
SCR-76561-B,Disco de Freio Cofap - Onix,Cofap,117,COR-10-B,198.69
SCR-54102-B,Vela de Ignição Moura - Civic,Moura,60,COR-20-A,18.05
SCR-29962-X,Vela de Ignição Cofap - Hilux,Cofap,48,COR-4-A,1198.57
SCR-65657-B,Pivô de Suspensão Monroe - HB20,Monroe,34,COR-10-B,1008.11
SCR-80582-B,Amortecedor Monroe - Hilux,Monroe,7,COR-9-C,872.82
SCR-37665-B,Amortecedor Bosch - Palio,Bosch,31,COR-4-A,245.42
SCR-10951-B,Filtro de Óleo Fram - Hilux,Fram,35,COR-12-C,264.85
SCR-89282-A,Lâmpada H4 Magneti Marelli - Fiat Uno,Magneti Marelli,112,COR-11-C,472.55
SCR-14931-X,Amortecedor Monroe - Civic,Monroe,93,COR-16-A,109.92
SCR-11646-B,Filtro de Óleo Moura - Fiat Uno,Moura,87,COR-5-A,495.33
SCR-95584-A,Junta Homocinética Monroe - Civic,Monroe,134,COR-6-A,24.49
SCR-71416-A,Pivô de Suspensão Monroe - Gol G5,Monroe,86,COR-3-A,1066.73
SCR-58898-B,Amortecedor NGK - Palio,NGK,92,COR-13-C,160.22
SCR-68800-A,Radiador Magneti Marelli - Compass,Magneti Marelli,11,COR-6-B,897.52
SCR-14143-B,Amortecedor NGK - Gol G5,NGK,77,COR-17-B,228.69
SCR-43755-B,Disco de Freio Magneti Marelli - Onix,Magneti Marelli,111,COR-4-B,958.27
SCR-23452-B,Cabo de Vela Monroe - Compass,Monroe,119,COR-4-C,855.97
SCR-85911-B,Disco de Freio Nakata - Corolla,Nakata,73,COR-20-A,1158.02
SCR-29232-B,Bomba d'Água Magneti Marelli - Civic,Magneti Marelli,80,COR-17-A,73.54
SCR-91184-A,Lâmpada H4 Bosch - Civic,Bosch,17,COR-12-C,515.2
SCR-84043-X,Lâmpada H4 Magneti Marelli - Civic,Magneti Marelli,50,COR-8-A,1078.36
SCR-72581-A,Bateria 60Ah Moura - Compass,Moura,8,COR-20-B,1002.98
SCR-81768-B,Sensor de Oxigênio Cofap - HB20,Cofap,128,COR-20-A,1180.31
SCR-71119-B,Lâmpada H4 Magneti Marelli - Corolla,Magneti Marelli,66,COR-12-B,135.74
SCR-88436-X,Junta Homocinética Nakata - Fiat Uno,Nakata,145,COR-14-B,597.42
SCR-58821-X,Disco de Freio Moura - Onix,Moura,69,COR-8-B,129.97
SCR-91439-A,Disco de Freio Nakata - Corolla,Nakata,64,COR-19-B,606.58
SCR-60678-X,Disco de Freio NGK - Gol G5,NGK,43,COR-3-A,1117.96
SCR-71498-B,Disco de Freio Magneti Marelli - Compass,Magneti Marelli,127,COR-4-B,550.53
SCR-87519-A,Junta Homocinética Bosch - Hilux,Bosch,66,COR-10-C,63.07
SCR-20951-B,Correia Dentada Bosch - Civic,Bosch,52,COR-1-B,1029.08
SCR-20052-X,Sensor de Oxigênio NGK - Civic,NGK,54,COR-18-B,660.66
SCR-53180-X,Pastilha de Freio Monroe - HB20,Monroe,130,COR-13-C,743.61
SCR-54087-A,Radiador Fram - Onix,Fram,26,COR-6-B,1105.16
SCR-13455-A,Cabo de Vela Magneti Marelli - Gol G5,Magneti Marelli,107,COR-1-C,473.14
SCR-36232-X,Bomba d'Água Moura - Compass,Moura,21,COR-12-B,683.66
SCR-88719-B,Vela de Ignição Monroe - HB20,Monroe,11,COR-4-B,113.34
SCR-34987-B,Sensor de Oxigênio Cofap - Gol G5,Cofap,103,COR-14-B,572.7
SCR-25266-B,Disco de Freio Fram - Onix,Fram,35,COR-10-C,585.19
SCR-56265-X,Lâmpada H4 Nakata - HB20,Nakata,18,COR-20-C,482.14
SCR-62166-A,Filtro de Óleo Cofap - Compass,Cofap,148,COR-17-B,1141.34
SCR-85484-X,Bateria 60Ah Monroe - Civic,Monroe,100,COR-3-C,1137.16
SCR-42942-X,Bomba d'Água Magneti Marelli - HB20,Magneti Marelli,147,COR-5-C,72.97
SCR-99048-A,Vela de Ignição Moura - HB20,Moura,99,COR-8-B,688.37
SCR-52030-X,Vela de Ignição Moura - Palio,Moura,32,COR-2-C,573.43
SCR-48075-B,Bateria 60Ah Fram - HB20,Fram,125,COR-3-C,805.46
SCR-94265-X,Bateria 60Ah Magneti Marelli - Gol G5,Magneti Marelli,16,COR-13-C,833.72
SCR-13584-X,Filtro de Óleo Fram - HB20,Fram,120,COR-6-C,1136.16
SCR-94100-B,Amortecedor Moura - Fiat Uno,Moura,64,COR-7-C,220.83
SCR-34233-B,Bateria 60Ah Fram - Palio,Fram,42,COR-7-A,807.87
SCR-53823-B,Junta Homocinética Moura - Palio,Moura,13,COR-2-A,806.06
SCR-81257-B,Palheta Monroe - HB20,Monroe,132,COR-12-C,345.32
SCR-12221-B,Vela de Ignição Monroe - Gol G5,Monroe,124,COR-20-C,749.85
SCR-45967-X,Correia Dentada Magneti Marelli - Gol G5,Magneti Marelli,92,COR-3-C,625.51
SCR-63605-X,Lâmpada H4 Fram - Hilux,Fram,110,COR-1-B,915.06
SCR-55749-B,Palheta Moura - Fiat Uno,Moura,109,COR-12-C,974.95
SCR-90846-X,Sensor de Oxigênio NGK - Compass,NGK,5,COR-5-C,833.56
SCR-82967-B,Lâmpada H4 Magneti Marelli - Palio,Magneti Marelli,48,COR-1-C,621.87
SCR-83279-B,Bateria 60Ah Moura - Onix,Moura,65,COR-16-A,853.24
SCR-97174-B,Lâmpada H4 Bosch - Fiat Uno,Bosch,148,COR-20-B,228.2
SCR-48314-B,Cabo de Vela Bosch - Civic,Bosch,134,COR-12-A,620.41
SCR-36956-A,Lâmpada H4 Moura - Fiat Uno,Moura,135,COR-14-C,17.13
SCR-27711-X,Bomba d'Água Cofap - Onix,Cofap,150,COR-14-B,880.89
SCR-66135-X,Correia Dentada Nakata - Compass,Nakata,58,COR-10-C,484.93
SCR-37793-A,Pivô de Suspensão Fram - Fiat Uno,Fram,104,COR-13-C,969.3
SCR-42635-A,Sensor de Oxigênio Moura - HB20,Moura,139,COR-6-B,933.35
SCR-58437-A,Radiador Moura - HB20,Moura,41,COR-3-C,780.41
SCR-73431-B,Amortecedor Cofap - Hilux,Cofap,136,COR-17-C,889.56
SCR-11873-B,Sensor de Oxigênio Moura - Onix,Moura,85,COR-8-A,360.21
SCR-96376-X,Disco de Freio Bosch - Corolla,Bosch,131,COR-14-C,641.01
SCR-33604-X,Junta Homocinética NGK - Fiat Uno,NGK,68,COR-1-C,1138.83
SCR-40538-X,Lâmpada H4 Magneti Marelli - Hilux,Magneti Marelli,106,COR-17-B,835.72
SCR-94606-X,Bateria 60Ah Fram - Onix,Fram,118,COR-19-A,735.17
SCR-64501-B,Palheta NGK - Gol G5,NGK,15,COR-10-B,43.33
SCR-81486-X,Bateria 60Ah Fram - Palio,Fram,80,COR-18-C,679.51
SCR-54976-X,Correia Dentada NGK - Corolla,NGK,146,COR-17-C,320.18
SCR-82415-X,Pivô de Suspensão Bosch - HB20,Bosch,135,COR-8-B,978.05
SCR-97147-X,Radiador Moura - Onix,Moura,121,COR-17-C,1123.16
SCR-27583-A,Bomba d'Água Moura - Onix,Moura,51,COR-18-B,257.96
SCR-99573-B,Palheta Fram - Gol G5,Fram,48,COR-19-B,924.25
SCR-98299-A,Lâmpada H4 Moura - Gol G5,Moura,63,COR-8-B,368.86
SCR-74856-A,Cabo de Vela Cofap - Onix,Cofap,27,COR-9-C,553.58
SCR-20636-B,Bateria 60Ah Moura - Onix,Moura,91,COR-10-A,742.48
SCR-76208-A,Correia Dentada Magneti Marelli - Gol G5,Magneti Marelli,20,COR-11-A,945.58
SCR-83428-A,Sensor de Oxigênio Fram - HB20,Fram,80,COR-2-C,567.96
SCR-49951-B,Sensor de Oxigênio Monroe - Palio,Monroe,60,COR-11-B,157.19
SCR-33643-A,Correia Dentada NGK - Civic,NGK,36,COR-2-B,1024.09
SCR-24200-X,Vela de Ignição Fram - Onix,Fram,92,COR-5-B,763.51
SCR-26610-A,Palheta NGK - Civic,NGK,132,COR-8-C,1038.26
SCR-60006-X,Vela de Ignição Bosch - HB20,Bosch,72,COR-14-C,1191.9
SCR-52531-A,Pivô de Suspensão Cofap - Corolla,Cofap,20,COR-19-A,537.08
SCR-37900-A,Vela de Ignição Nakata - Compass,Nakata,60,COR-17-A,202.01
SCR-58121-B,Sensor de Oxigênio Nakata - Corolla,Nakata,112,COR-3-A,1121.03
SCR-57797-X,Bateria 60Ah NGK - Civic,NGK,40,COR-15-A,1179.04
SCR-67701-X,Filtro de Óleo Bosch - HB20,Bosch,126,COR-12-C,688.74
SCR-42054-B,Cabo de Vela Fram - Fiat Uno,Fram,25,COR-18-A,563.88
SCR-21741-X,Pastilha de Freio Monroe - Corolla,Monroe,83,COR-17-C,943.08
SCR-70389-X,Pivô de Suspensão Moura - Palio,Moura,90,COR-7-A,951.01
SCR-45116-B,Vela de Ignição NGK - Fiat Uno,NGK,78,COR-19-B,564.12
SCR-53556-A,Amortecedor NGK - Compass,NGK,79,COR-4-C,283.87
SCR-97756-B,Radiador Cofap - Fiat Uno,Cofap,20,COR-19-C,1025.58
SCR-76043-X,Pivô de Suspensão Moura - Civic,Moura,95,COR-1-C,18.7
SCR-21778-X,Bomba d'Água Cofap - HB20,Cofap,134,COR-9-B,636.09
SCR-30334-X,Palheta Magneti Marelli - Corolla,Magneti Marelli,16,COR-17-A,817.73
SCR-54888-A,Bateria 60Ah Magneti Marelli - Hilux,Magneti Marelli,43,COR-17-C,849.14
SCR-26269-B,Palheta Magneti Marelli - Civic,Magneti Marelli,118,COR-4-A,1116.31
SCR-94805-X,Bomba d'Água Monroe - Civic,Monroe,0,COR-5-B,351.7
SCR-15195-X,Cabo de Vela Magneti Marelli - Hilux,Magneti Marelli,142,COR-6-B,130.33
SCR-49601-X,Radiador Nakata - Gol G5,Nakata,124,COR-13-B,551.34
SCR-42631-B,Correia Dentada Nakata - Civic,Nakata,57,COR-4-A,1001.13
SCR-52848-B,Amortecedor Magneti Marelli - Gol G5,Magneti Marelli,150,COR-1-A,522.18
SCR-79038-X,Radiador Moura - Corolla,Moura,72,COR-10-C,784.2
SCR-35890-A,Disco de Freio Fram - HB20,Fram,16,COR-14-A,153.69
SCR-25370-X,Disco de Freio Cofap - Compass,Cofap,42,COR-8-A,644.8
SCR-31541-X,Bateria 60Ah NGK - Gol G5,NGK,90,COR-5-A,904.54
SCR-36689-B,Pivô de Suspensão Nakata - Hilux,Nakata,67,COR-4-C,165.81
SCR-87278-X,Bomba d'Água Monroe - HB20,Monroe,63,COR-8-B,801.68
SCR-20688-B,Bateria 60Ah Bosch - HB20,Bosch,75,COR-11-A,16.92
SCR-73740-B,Bateria 60Ah Magneti Marelli - Palio,Magneti Marelli,29,COR-9-C,117.48
SCR-72442-A,Correia Dentada Nakata - Palio,Nakata,1,COR-20-B,796.85
SCR-17575-A,Disco de Freio Cofap - Palio,Cofap,140,COR-2-B,83.0
SCR-93286-X,Radiador Fram - Palio,Fram,23,COR-8-C,668.44
SCR-10942-X,Vela de Ignição Moura - Hilux,Moura,76,COR-9-B,1192.69
SCR-42817-X,Cabo de Vela Moura - Civic,Moura,66,COR-11-B,404.02
SCR-48756-A,Vela de Ignição Cofap - Compass,Cofap,125,COR-16-A,698.89
SCR-98096-A,Sensor de Oxigênio Monroe - Gol G5,Monroe,39,COR-9-B,526.32
SCR-94190-A,Lâmpada H4 Bosch - Corolla,Bosch,130,COR-4-A,231.87
SCR-65270-B,Pivô de Suspensão Bosch - Compass,Bosch,36,COR-6-A,407.25
SCR-34026-A,Bateria 60Ah Monroe - Civic,Monroe,110,COR-17-B,1167.94
SCR-95509-X,Amortecedor NGK - Civic,NGK,149,COR-19-B,199.88
SCR-25163-X,Radiador Nakata - Palio,Nakata,66,COR-20-C,194.42
SCR-67299-B,Disco de Freio Cofap - Compass,Cofap,24,COR-15-B,915.65
SCR-65311-X,Cabo de Vela NGK - HB20,NGK,48,COR-12-B,669.55
SCR-71314-X,Correia Dentada Monroe - Corolla,Monroe,16,COR-20-C,1114.75
SCR-95151-A,Lâmpada H4 Nakata - HB20,Nakata,119,COR-8-A,1187.92
SCR-94943-X,Pivô de Suspensão Cofap - Civic,Cofap,45,COR-6-B,1106.54
SCR-95670-B,Filtro de Óleo Nakata - Civic,Nakata,150,COR-1-C,552.94
SCR-85569-B,Sensor de Oxigênio Magneti Marelli - Onix,Magneti Marelli,54,COR-8-A,686.5
SCR-94824-X,Pastilha de Freio NGK - Compass,NGK,67,COR-3-A,526.6
SCR-11748-A,Pastilha de Freio Monroe - Onix,Monroe,117,COR-17-A,711.4
SCR-96027-X,Pastilha de Freio Monroe - Hilux,Monroe,39,COR-16-B,933.17
SCR-65852-X,Cabo de Vela Bosch - Fiat Uno,Bosch,69,COR-12-A,592.34
SCR-43570-X,Bateria 60Ah NGK - Gol G5,NGK,23,COR-15-C,947.36
SCR-82155-A,Radiador Cofap - Compass,Cofap,137,COR-11-B,562.22
SCR-40109-X,Filtro de Óleo Cofap - HB20,Cofap,42,COR-13-B,875.37
SCR-63778-B,Bateria 60Ah NGK - Compass,NGK,25,COR-2-B,654.65
SCR-14241-A,Correia Dentada Cofap - Corolla,Cofap,40,COR-12-C,233.03
SCR-14895-B,Palheta NGK - Onix,NGK,53,COR-8-C,1156.69
SCR-91199-A,Amortecedor Magneti Marelli - Corolla,Magneti Marelli,103,COR-6-A,1126.89
SCR-64228-B,Sensor de Oxigênio Moura - Corolla,Moura,35,COR-10-B,751.8
SCR-98156-B,Bomba d'Água Moura - Fiat Uno,Moura,100,COR-4-C,456.13
SCR-82127-A,Correia Dentada Monroe - Onix,Monroe,102,COR-13-C,1059.97
SCR-36670-B,Filtro de Óleo NGK - Onix,NGK,144,COR-15-C,857.12
SCR-81207-X,Palheta Cofap - HB20,Cofap,107,COR-16-C,1045.14
SCR-66231-A,Palheta Bosch - Civic,Bosch,108,COR-20-B,299.33
SCR-35333-A,Sensor de Oxigênio Magneti Marelli - Gol G5,Magneti Marelli,37,COR-8-C,655.33
SCR-51895-X,Correia Dentada Nakata - Fiat Uno,Nakata,49,COR-12-B,17.02
SCR-56423-X,Cabo de Vela Bosch - Compass,Bosch,112,COR-6-C,168.98
SCR-98862-A,Amortecedor NGK - Compass,NGK,30,COR-11-C,120.22
SCR-73919-A,Palheta Fram - Gol G5,Fram,129,COR-19-B,733.54
SCR-69645-A,Correia Dentada Cofap - Hilux,Cofap,25,COR-13-C,1008.5
SCR-55750-X,Lâmpada H4 NGK - Gol G5,NGK,81,COR-2-C,628.99
SCR-59019-A,Bomba d'Água NGK - Corolla,NGK,70,COR-6-A,575.83
SCR-16702-A,Amortecedor Cofap - Corolla,Cofap,146,COR-17-A,395.14
SCR-68816-B,Correia Dentada Monroe - Civic,Monroe,7,COR-5-C,423.16
SCR-85361-B,Vela de Ignição Magneti Marelli - HB20,Magneti Marelli,28,COR-16-A,260.18
SCR-36288-X,Bomba d'Água NGK - Onix,NGK,98,COR-18-B,438.45
SCR-86054-B,Pastilha de Freio NGK - Corolla,NGK,89,COR-4-A,521.57
SCR-88827-B,Bomba d'Água NGK - Onix,NGK,134,COR-18-A,951.38
SCR-95530-B,Pivô de Suspensão Nakata - Palio,Nakata,123,COR-9-C,741.37
SCR-99141-B,Junta Homocinética Fram - Fiat Uno,Fram,20,COR-2-B,148.56
SCR-11566-B,Radiador Fram - Onix,Fram,131,COR-7-B,714.7
SCR-64444-B,Cabo de Vela Magneti Marelli - Compass,Magneti Marelli,143,COR-10-A,898.02
SCR-36181-B,Disco de Freio Magneti Marelli - Palio,Magneti Marelli,9,COR-1-A,28.79
SCR-70873-B,Cabo de Vela Magneti Marelli - Gol G5,Magneti Marelli,49,COR-4-B,156.9
SCR-27843-B,Bomba d'Água NGK - Onix,NGK,49,COR-17-A,382.25
SCR-32070-X,Cabo de Vela Fram - HB20,Fram,22,COR-16-C,1190.18
SCR-19130-A,Vela de Ignição Nakata - Fiat Uno,Nakata,94,COR-7-A,873.7
SCR-92612-X,Amortecedor Magneti Marelli - Onix,Magneti Marelli,17,COR-16-C,728.74
SCR-78799-B,Cabo de Vela NGK - Onix,NGK,82,COR-17-C,513.74
SCR-85673-X,Bateria 60Ah Fram - Gol G5,Fram,125,COR-12-C,466.67
SCR-52065-B,Disco de Freio Moura - Gol G5,Moura,114,COR-2-C,423.52
SCR-46885-A,Lâmpada H4 Magneti Marelli - Palio,Magneti Marelli,50,COR-12-C,1057.25
SCR-18598-A,Filtro de Óleo Fram - Gol G5,Fram,46,COR-17-B,544.37
SCR-97142-X,Amortecedor Moura - Fiat Uno,Moura,68,COR-1-C,1067.85
SCR-46865-X,Sensor de Oxigênio Fram - Compass,Fram,83,COR-20-C,100.01
SCR-17403-X,Sensor de Oxigênio NGK - Corolla,NGK,66,COR-7-C,1116.22
SCR-70062-A,Vela de Ignição Magneti Marelli - Civic,Magneti Marelli,131,COR-16-B,736.08
SCR-17305-B,Junta Homocinética Bosch - HB20,Bosch,62,COR-2-C,783.01
SCR-87963-A,Vela de Ignição NGK - Fiat Uno,NGK,140,COR-10-B,205.06
SCR-74420-B,Pastilha de Freio Nakata - Corolla,Nakata,62,COR-1-B,62.61
SCR-66850-B,Filtro de Óleo Bosch - Gol G5,Bosch,15,COR-18-B,138.18
SCR-13245-X,Junta Homocinética Monroe - Hilux,Monroe,145,COR-20-B,329.4
SCR-63393-A,Pivô de Suspensão Fram - Corolla,Fram,101,COR-8-A,1153.61
SCR-16647-X,Junta Homocinética Cofap - HB20,Cofap,118,COR-12-C,770.22
SCR-25292-B,Disco de Freio Monroe - Onix,Monroe,128,COR-10-A,247.1
SCR-85154-B,Bateria 60Ah Nakata - Civic,Nakata,135,COR-15-C,735.29
SCR-30537-B,Cabo de Vela Magneti Marelli - Onix,Magneti Marelli,95,COR-15-B,1032.12
SCR-91190-B,Sensor de Oxigênio Magneti Marelli - Palio,Magneti Marelli,44,COR-5-A,590.66
SCR-16459-B,Palheta Magneti Marelli - Compass,Magneti Marelli,126,COR-18-C,462.61
SCR-98935-A,Sensor de Oxigênio Fram - Corolla,Fram,68,COR-15-B,671.46
SCR-75160-A,Junta Homocinética Nakata - Gol G5,Nakata,56,COR-19-A,404.79
SCR-85212-A,Pastilha de Freio Fram - Palio,Fram,106,COR-2-C,593.77
SCR-78493-A,Radiador Monroe - Fiat Uno,Monroe,141,COR-1-C,354.3
SCR-28611-B,Cabo de Vela Cofap - Fiat Uno,Cofap,110,COR-4-B,1051.48
SCR-27726-A,Radiador Nakata - Corolla,Nakata,129,COR-7-A,1121.27
SCR-32038-B,Bomba d'Água Fram - Palio,Fram,72,COR-17-C,311.96
SCR-74224-X,Cabo de Vela Moura - Palio,Moura,65,COR-13-A,69.3
SCR-21546-B,Palheta Monroe - Onix,Monroe,113,COR-4-B,839.0
SCR-37631-X,Bomba d'Água Monroe - Fiat Uno,Monroe,141,COR-2-B,1076.22
SCR-36657-B,Correia Dentada Magneti Marelli - Onix,Magneti Marelli,32,COR-8-B,253.26
SCR-25925-X,Bateria 60Ah NGK - Gol G5,NGK,123,COR-4-A,1177.16
